Ticker;Nome;Setor;Adm;Cotacao;MM200Delta;Vol;DY12m;P_VP;VALOR_EM_CAIXA;PB_Anos
BBPO11;BB Progressivo II;Agencias De Bancos;VOTORANTIM ASSET;113,75;89,7;0,22;11,31;1,13;5,05;8,8
BBRC11;BB Renda Corporativa;Agencias De Bancos;VOTORANTIM ASSET;120,98;89,6;0,02;9,59;1,07;3,78;10,4
BNFS11;Banrisul Novas Fronteiras;Agencias De Bancos;OLIVEIRA TRUST;122,69;102,4;0,01;9,47;1,18;4,68;10,6
RBVA11;Rio Bravo Renda Varejo;Agencias De Bancos;RIO BRAVO;106,6;92,4;0,16;9,8;0,93;0,36;10,2
FAED11;Anhanguera Educacional;Educacional;BTG PACTUAL;176,3;89,3;0,02;8,8;0,82;1,50;11,4
FCFL11;Campus Faria Lima;Educacional;BTG PACTUAL;110,6;100,7;0,02;5,97;1,09;0,49;16,8
RBED11;Rio Bravo Renda Educacional;Educacional;RIO BRAVO;147,25;95,9;0,04;8,2;0,98;9,45;12,2
MINT11;Mint Educacional;Educacional;PLURAL S.A.;100,58;NA;0,00;0;0,98;42,74;Inf
JPPC11;JPP Capital;Fundo De Desenvolvimento;BANCO FINAXIS;402;NA;0,00;3,66;0,88;7,31;27,3
KNRE11;Kinea II Real Estate Equity;Fundo De Desenvolvimento;INTRAG DTVM;3,22;97,5;0,00;1,69;1,00;2,65;59,2
PABY11;Panamby;Fundo De Desenvolvimento;BRKB DISTRIBUIDORA;10,42;70,4;0,00;0;NA;NA;Inf
RBDS11;RB Capital Desenvolvimento Residencial II;Fundo De Desenvolvimento;OLIVEIRA TRUST;24,12;80,9;0,00;0;1,07;4,80;Inf
ORPD11;Ouro Verde Desenvolvimento Imobiliário;Fundo De Desenvolvimento;PLANNER TRUSTEE;117,5;NA;0,00;0;0,81;0,00;Inf
MFII11;Mérito Desenvolvimento Imobiliário I;Fundo De Desenvolvimento;PLANNER CORRETORA;121,34;104,0;0,05;10,07;1,02;21,49;9,9
RBBV11;JHSF Rio Bravo Fazenda Boa Vista;Fundo De Desenvolvimento;CAIXA ECONOMICA;95,8;107,3;0,00;5,65;0,97;0,38;17,7
KINP11;Even Permuta Kinea;Fundo De Desenvolvimento;INTRAG DTVM;13,59;107,9;0,00;3,6;1,49;6,52;27,8
TGAR11;TG Ativo Real;Fundo De Desenvolvimento;VORTX DISTRIBUIDORA;136,98;107,9;0,24;9,68;1,05;23,04;10,3
DMAC11;MAC FII;Fundo De Desenvolvimento;OLIVEIRA TRUST;76,5;85,1;0,01;34,07;0,48;17,99;2,9
STRX11;StarX;Fundo De Desenvolvimento;OLIVEIRA TRUST;15816;NA;0,05;NA;0,00;0,19;NA
TOUR11;Tourmalet II;Fundo De Desenvolvimento;VORTX DISTRIBUIDORA;116,7;NA;0,00;6,54;0,26;25,80;15,3
PATC11;Pátria Edifícios Corporativos;Fundo De Desenvolvimento;MODAL D.T.V.M.;70,64;82,7;0,06;4,87;0,70;1,93;20,5
RCFA11;Grupo RCFA;Fundo De Desenvolvimento;TERRA INVESTIMENTOS;0,54;65,1;0,00;0;0,35;0,02;Inf
HRDF11;Hedge Realty Development;Fundo De Desenvolvimento;HEDGE INVESTMENTS;1,66;88,9;0,00;0;0,92;60,53;Inf
RSPD11;RB Capital Desenvolvimento Residencial III;Fundo De Desenvolvimento;OLIVEIRA TRUST;1350;NA;0,00;0;NA;10,98;Inf
RBRM11;RBR Desenvolvimento;Fundo De Desenvolvimento;BTG PACTUAL;160000;NA;0,16;36,86;0,98;7,97;2,7
RBTS11;RB Capital TFO Situs;Fundo De Desenvolvimento;OLIVEIRA TRUST;1000;NA;0,00;0;0,95;9,15;Inf
LUGG11;Luggo;Fundo De Desenvolvimento;INTER DISTRIBUIDORA;96,4;95,2;0,01;5,87;0,88;0,85;17,0
