"Ticker";"Nome";"Setor";"Adm";"Cotacao";"MM200Delta";"Vol";"DY12m";"P_VP";"VALOR_EM_CAIXA";"PB_Anos"
"ABCP11";"Grand Plaza Shopping";"Shoppings";"RIO BRAVO";78,51;100,072563645202;0,0223051476;3,58;0,89;1,21;27,9
"BBPO11";"BB Progressivo II";"Agencias De Bancos";"VOTORANTIM ASSET";113,99;90,0778835896622;0,22328023095;11,29;1,13;5,05;8,9
"BBRC11";"BB Renda Corporativa";"Agencias De Bancos";"VOTORANTIM ASSET";119,7;88,7221254351245;0,0192636193;9,69;1,06;3,78;10,3
"BNFS11";"Banrisul Novas Fronteiras";"Agencias De Bancos";"OLIVEIRA TRUST";122,65;102,462167621871;0,0091980756;9,47;1,18;4,68;10,6
"BPFF11";"Brasil Plural Absoluto Fundo de Fundos";"Fundo De Fundos";"GENIAL INVESTIMENTOS";77,83;97,1686052170433;0,05758517865;8,22;0,9;5,67;12,2
"BRCR11";"BTG Pactual Corporate Office Fund";"Lajes Corporativas";"BTG PACTUAL";81,48;94,5319663446519;0,367649522;6,86;0,76;0,8;14,6
"CTXT11";"Centro Têxtil Internacional";"Lajes Corporativas";"RIO BRAVO";29,97;68,7110527595033;0,0051710127;12,31;0,62;0,72;8,1
"CXTL11";"Caixa TRX Logística Renda";"Imoveis Industriais E Logisticos";"CAIXA ECONOMICA";354,11;101,535150526099;0,0033279428;1,55;0,49;4,77;64,5
"EURO11";"Europar";"Imoveis Industriais E Logisticos";"COINVALORES CCVM";209,83;103,499283976161;0,007603443;5,96;0,74;2;16,8
"FIIB11";"Industrial do Brasil";"Imoveis Industriais E Logisticos";"COINVALORES CCVM";506,25;102,87425004918;0,0679792679;5,58;1,14;1,1;17,9
"FLMA11";"Continental Square Faria Lima";"Lajes Corporativas";"BR-CAPITAL DTVM";2,77;92,4237408298348;0,0049033048;3,44;0,89;2,17;29,1
"FMOF11";"Memorial Office";"Lajes Corporativas";"COINVALORES CCVM";70,04;83,7356478308347;0,00073814315;2,46;0,53;1,36;40,7
"FPAB11";"Projeto Água Branca";"Lajes Corporativas";"COINVALORES CCVM";263,06;89,0786262303558;0,00340045885;7,79;0,59;1,4;12,8
"FVPQ11";"Via Parque";"Shoppings";"RIO BRAVO";137;91,7605966018974;0,0112396382;2,37;0,7;1,57;42,2
"HGBS11";"Hedge Brasil Shopping";"Shoppings";"HEDGE INVESTMENTS";198,69;96,2322949920861;0,33314919205;3,02;0,9;1,84;33,1
"HGCR11";"CSHG Recebíveis Imobiliários";"Papeis";"CREDIT SUISSE";107,8;108,455953222107;0,2223770965;6,21;1,02;6,4;16,1
"HGLG11";"CSHG Logística";"Imoveis Industriais E Logisticos";"CREDIT SUISSE";173,5;102,644433218246;1,01744279665;6,36;1,18;13,7;15,7
"HGRE11";"CSHG Real Estate";"Lajes Corporativas";"CREDIT SUISSE";141,59;98,5276814094248;0,3784045865;5,59;0,84;0,96;17,9
